"Año";"Periodo";"Deuda pública"
"2018";"Marzo";"1.162.130,1"
"2018";"Abril";"1.152.518,67"
"2018";"Mayo";"1.157.337,37"
"2018";"Junio";"1.165.972,65"
"2018";"Julio";"1.162.781,13"
"2018";"Agosto";"1.165.122,76"
"2018";"Septiembre";"1.177.749,46"
"2018";"Octubre";"1.163.098,71"
"2018";"Noviembre";"1.172.053,21"
"2018";"Diciembre";"1.173.348,28"
"2019";"Enero";"1.177.939,55"
"2019";"Febrero";"1.188.362,93"
"2019";"Marzo";"1.200.490,71"
"2019";"Abril";"1.183.889,31"
"2019";"Mayo";"1.196.115,05"
"2019";"Junio";"1.211.350,14"
"2019";"Julio";"1.197.727,97"
"2019";"Agosto";"1.200.108,85"
"2019";"Septiembre";"1.207.754,95"
"2019";"Octubre";"1.194.825,95"
;;
;;
"Métrica":"Deuda pública"
"Fuente":"Banco de España"
"Clasificación":""
"Unidad":"Euros"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/asi-aumentado-deuda-publica/f4dcc707-9e28-4d16-aadb-0010a33a4db5/espana/106"
"Titulo":"Evolución de la deuda pública de España"
"Subtitulo":"La deuda pública se sitúa en 1.194.825,95 millones de euros en octubre de 2019﻿ "
